variant_id,stop_id
837347,3422
837356,638
837357,637
837379,284
837379,2861
837379,1149
837379,5297
837495,1573
837495,1501
837495,1580
837495,1419
837495,1547
837495,2536
837497,1419
837497,1547
837497,2536
837498,1534
837498,1547
837498,2536
837499,3522
837499,1419
837499,1547
837499,2536
837505,637
837505,650
837505,965
837505,1330
837505,3517
837505,480
837506,481
837506,3526
837506,814
837506,638
837510,212
837510,2479
837510,115
837511,4652
837511,637
837511,668
837511,2172
837514,518
837514,436
837514,3134
837515,469
837515,2905
837515,435
837515,1011
837522,526
837522,538
837523,539
837523,527
837528,378
837528,3890
837528,480
837528,2955
837528,3134
837531,2528
837531,3901
837531,2855
837531,1174
837531,3416
837531,116
837536,636
837536,818
837536,964
837536,4381
837536,493
837536,494
837536,3900
837538,2330
837538,2528
837538,481
837538,3526
837538,4895
837538,554
837539,3893
837539,481
837539,3526
837539,4895
837539,554
837541,3421
837541,2275
837544,509
837544,3526
837544,2953
837544,841
837544,2029
837544,1313
837544,1248
837544,2594
837544,934
837552,1151
837552,494
837552,2815
837552,3518
837552,3102
837552,509
837552,3526
837552,841
837552,2029
837552,1313
837552,1248
837552,708
837552,711
837552,3422
837567,788
837568,242
837568,212
837568,2479
837569,5167
837569,5155
837569,115
837574,4652
837574,637
837575,639
837575,3899
837581,5296
837581,271
837581,281
837581,3782
837581,378
837583,4376
837583,4125
837583,4137
837583,4122
837583,3906
837583,3514
837583,3519
837585,642
837585,636
837585,1312
837585,1176
837585,4517
837586,480
837586,347
837586,2666
837586,4401
837586,2010
837598,3182
837598,2861
837598,1149
837598,1865
837598,5297
837598,1142
837598,824
837598,639
837599,539
837599,527
837601,3884
837601,3415
837601,2828
837601,707
837602,818
837602,964
837602,4381
837604,403
837604,3256
837613,604
837613,708
837613,711
837613,3420
837616,4652
837617,378
837617,3890
837617,480
837617,2955
837617,3134
837618,378
837618,3890
837618,480
837618,2955
837618,3134
837635,2330
837635,2528
837635,481
837635,3526
837635,4895
837635,554
837640,553
837640,4894
837640,5123
837640,3517
837640,480
837640,3894
837642,3421
837642,2275
837645,5297
837645,4571
837645,3517
837645,3518
837646,5297
837646,1142
837647,935
837647,707
837647,611
837649,509
837649,3526
837649,546
837649,27
837652,26
837652,1330
837652,3517
837652,508
837653,26
837653,1330
837653,3517
837654,509
837654,3526
837654,841
837654,2029
837654,1313
837654,637
837656,788
837656,5154
837656,240
837656,1330
837656,3517
837656,508
837657,788
837657,2554
837659,636
837659,818
837659,3517
837659,508
837659,3106
837659,3514
837661,864
837661,3890
837661,3518
837661,3106
837662,636
837662,818
837662,3517
837662,508
837662,3106
837662,3514
837665,1151
837665,494
837665,2815
837665,3518
837666,2855
837666,205
837668,509
837668,3526
837675,509
837675,3526
837675,547
837676,2855
837687,4876
837687,4875
837687,4874
837687,4878
837687,864
837687,3890
837687,3526
837687,547
837706,788
837706,211
837707,1160
837707,212
837707,2479
837707,115
837708,639
837708,3899
837716,1963
837716,2863
837716,316
837716,3518
837716,3892
837716,1249
837716,3134
837718,3901
837718,952
837718,815
837718,1782
837718,638
837723,935
837723,707
837723,611
837723,1819
837723,1312
837723,2028
837723,1330
837723,3517
837723,508
837723,3102
837724,1312
837724,2028
837724,3517
837724,508
837724,3102
837726,864
837726,3890
837726,3518
837726,3106
837726,509
837726,3526
837726,2816
837726,1782
837726,638
837732,4652
837737,638
837738,3415
837738,2828
837740,3415
837740,2828
837740,613
837748,3762
837748,5154
837748,5160
837748,952
837750,242
837750,5167
837750,5155
837750,115
837757,5296
837757,271
837757,281
837757,378
837764,3895
837772,526
837772,538
837774,3422
837776,3884
837776,3415
837776,2828
837776,707
837784,2274
837784,3415
837784,2828
837784,707
837784,613
837787,180
837787,1142
837787,824
837787,638
837789,639
837789,3899
837791,3134
837791,481
837791,3891
837791,2341
837794,5296
837802,2276
837802,3415
837804,3899
837804,604
837804,708
837804,711
837804,3421
837804,2305
837804,2871
837806,3514
837806,3526
837806,2816
837806,4570
837806,5296
837807,2816
837807,952
837807,1782
837810,3892
